ref,name,management,pupils_total_2022_23,pcd,lat,lon,color,color_string,red,green,blue,radius,protestant,catholic,other,display,estimated_non_christians,estimated_non_christian_pct,estimated_non_christian_string,radius_freq,estimated_total_visits,no_withdrawn,pct_other,url
201-2707,Dromore Primary School,Controlled,46.0,BT783EE,54.510784,-7.454496,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,220,93,102,67.82329983125268,38,4-4,Fewer than 5 (<11.0%),Child Evangelism Fellowship: weekly<br>Holy Trinity Parish Church Dromore: 1-3/month<br>Scripture Union: <1/month<br>Togherdoo Methodist Church: 1-3/month,3,0.0652173913043478,Fewer than 5 (<11.0%),204.143316658556,58.0,Zero,8.7%,https://www.whatdotheyknow.com/r/7cf4e44f-1308-433a-a176-fa6cac49d67a
201-2708,Strabane Primary School,Controlled,270.0,BT828DX,54.83205,-7.461078,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,160,27,155,164.31676725154983,66,166,38 (14.1%),"Baptist Churches In N. Ireland: once<br>Child Evangelism Fellowship: twice<br>Sacred Heart Church, Strabane: 10 visits<br>Scripture Union: once",24,0.0888888888888888,24 (8.9%),133.92304845413264,14.0,5 or fewer,14.1%,https://www.whatdotheyknow.com/r/95f62cf3-fbd3-421f-8119-0c9d3a74c0e3
201-2711,Donemana Primary School,Controlled,112.0,BT820PH,54.877979,-7.302308,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,221,95,101,105.83005244258362,73,0-4,35-39 (33.0%),"Child Evangelism Fellowship: 1-3/month<br>Donemana Presbyterian Church: <1/month<br>Scripture Union: twice per term<br>St James’ Church, Donemana: <1/month<br>Temperance Charity: 4 or 5 visits",34,0.3035714285714285,31-37 (30.4%),171.5741616370842,29.0,Zero,33.0%,https://www.whatdotheyknow.com/r/940937fc-1c62-4a2a-ad06-2acc1f4cc391
201-6003,Jones Memorial Primary School,Controlled,140.0,BT745QF,54.328868,-7.656817,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,188,54,133,118.32159566199232,64,43,33 (23.6%),Baptist: once<br>Child Evangelism Fellowship: termly<br>Church of Ireland: termly<br>Elim: once<br>Free Presbyterian: termly<br>Independent Methodist: once<br>Methodist: termly<br>Presbyterian: once<br>Reformed Presbyterian: termly<br>Roman Catholic: termly<br>Scripture Union: once,21,0.15,18-24 (15.0%),154.70765814495917,23.0,5 or fewer,23.6%,https://www.whatdotheyknow.com/r/206e928f-e828-4943-a59a-833c2f6b1096
201-6029,Drumachose Primary School,Controlled,399.0,BT490BS,55.051176,-6.94439,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,191,57,130,199.74984355438173,247,46,106 (26.6%),"Child Evangelism Fellowship: <1/month<br>Christchurch C.O.I., Limavady: <1/month<br>Drumachose Presbyterian, Limavady: <1/month",80,0.200501253132832,79-82 (20.1%),169.75942826406305,10.0,Zero,26.6%,https://www.whatdotheyknow.com/r/994cf5c5-a824-47a1-842b-0947f0822880
201-6068,Artigarvan Primary School,Controlled,168.0,BT820HN,54.855847,-7.407479,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,182,47,139,129.6148139681572,128,11,29 (17.3%),Child Evangelism Fellowship: 1-3/month<br>Leckpatrick Church of Ireland: <1/month<br>Leckpatrick Presbyterian Church: <1/month<br>Stand By Me: <1/month,20,0.119047619047619,20 (11.9%),150.24659347874783,21.0,Zero,17.3%,https://www.whatdotheyknow.com/r/21f6e281-c31a-49e5-8a46-1572d920ec66
201-6071,Greenhaw Primary School,Controlled,324.0,BT488BA,55.021889,-7.317524,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,111,0,168,180.0,7,301,16 (4.9%),St Brigid's Church Derry Londonderry: <1/month,16,0.0493827160493827,16 (4.9%),84.94239407476404,2.0,5 or fewer,4.9%,https://www.whatdotheyknow.com/r/e6669286-7f93-4df7-8226-a527aab9bbee
201-6089,Gibson Primary School,Controlled,327.0,BT797EG,54.604154,-7.29572,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,192,59,129,180.83141320025123,179,64,84 (25.7%),Edenderry C of I: <1/month<br>Evangelical Presbyterian: <1/month<br>Mountjoy: <1/month<br>Omagh Methodist: <1/month<br>St Columba's Omagh: <1/month<br>Trinity & First Omagh Presbyterian Churches: <1/month,68,0.2079510703363914,68 (20.8%),165.32472805690972,20.0,5 or fewer,25.7%,https://www.whatdotheyknow.com/r/01b3037e-3d88-422f-ad92-7497e4826a1c
201-6102,Tempo Primary School,Controlled,81.0,BT943LU,54.377149,-7.461287,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,203,71,119,90.0,52,0-4,25-29 (33.3%),"Baptist Youth: <1/month<br>Child Evangelism Fellowship: <1/month<br>Hope for Youth Ministries: <1/month<br>Methodist Church, Tempo: <1/month<br>Presbyterian Church, Tempo: <1/month<br>Scripture Union: twice per term<br>St Margarets Church of Ireland Clabby and Tempo: 1-3/month<br>Stonepark Baptist Church: <1/month",15,0.1851851851851851,12-19 (18.5%),164.49737359139584,34.0,Zero,33.3%,https://www.whatdotheyknow.com/r/8fdf9974-8311-4852-8a4e-10dcd7130d47
201-6124,Ashlea Primary School,Controlled,101.0,BT473QT,54.973507,-7.287503,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,117,0,168,100.4987562112089,92,0,9 (8.9%),Child Evangelism Fellowship: <1/month,5,0.0495049504950495,2-8 (5.0%),89.34184481000355,3.0,5 or fewer,8.9%,https://www.whatdotheyknow.com/r/098a8222-54ba-4f19-ac2e-05827220a566
201-6127,Maguiresbridge Primary School,Controlled,125.0,BT944PJ,54.301344,-7.481555,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,158,25,156,111.80339887498948,106,0-4,15-19 (13.6%),Aghavea Church of Ireland: termly<br>Independent Methodist: termly<br>Maguiesbridge Church of Ireland: termly<br>Maguiresbridge Methodist: termly<br>Maguiresbridge Presbyterian: termly<br>Scripture Union: termly<br>Stonepark Baptist: termly,16,0.128,14-20 (12.8%),124.48809448814174,21.0,5 or fewer,13.6%,https://www.whatdotheyknow.com/r/a350c34d-9763-4641-afbe-a3fc208c996b
201-6151,Irvinestown Primary School,Controlled,162.0,BT941DY,54.472202,-7.642599,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,158,25,156,127.27922061357856,104,26,32 (19.8%),Derryvullen North and Castle Archdale Church of Ireland: <1/month<br>Irvinestown Presbyterian Church: <1/month<br>Scripture Union: <1/month<br>The Priory Church Killadeas: <1/month,24,0.1481481481481481,23-26 (14.8%),126.33866295566568,13.0,Zero,19.8%,https://www.whatdotheyknow.com/r/e658ed01-18c6-499f-ae22-3c2dbca7c9cd
201-6152,Enniskillen Model Primary School,Controlled,423.0,BT746HZ,54.341165,-7.620475,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,191,57,130,205.66963801203133,224,68,131 (31.0%),"Christian Fellowship Church (CFC): once<br>Enniskillen Methodist Church: once<br>Enniskillen Presbyterian Church: once<br>Enniskillen and Mullaghmeen Baptist Church: once<br>Independent Methodist: once<br>St. Macartin's Cathedral, Enniskillen: once<br>St. Michael's Church Enniskillen: once",104,0.2458628841607565,104 (24.6%),174.49913494550754,7.0,5 or fewer,31.0%,https://www.whatdotheyknow.com/r/b2830009-6729-40b6-ba61-d30dd69fe958
201-6184,Lack Primary School,Controlled,25.0,BT930BU,54.546551,-7.579352,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,169,35,149,50.0,21-25,0,Fewer than 5 (<20.0%),"Colaghty Parish Church, Lack, Co. Fermanagh: monthly<br>Free Presbyterian Church, Kesh, Co. Fermanagh: monthly<br>Scripture Union: 4 or 5 visits",2,0.08,Fewer than 5 (<20.0%),138.0,22.0,Zero,8.0%,https://www.whatdotheyknow.com/r/9a8ae5b2-8fce-4d42-ada2-d3eda4bc47d2
201-6203,Lisnagelvin Primary School,Controlled,567.0,BT475QZ,54.99271,-7.290194,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,253,187,43,238.1176179958132,293,97,177 (31.2%),All Saints Clooney Church of Ireland: 1-3/month<br>Child Evangelism Fellowship: 1-3/month<br>Ebrington Presbyterian Church: 1-3/month<br>Glendermott Church of Ireland: 1-3/month<br>Kilfennan Presbyterian Church: 1-3/month<br>Scripture Union: 1-3/month,138,0.2433862433862433,138 (24.3%),255.74827953782,63.0,5 or fewer,31.2%,https://www.whatdotheyknow.com/r/3a16fd6a-09cd-4871-a2ed-e21baa6f5d89
201-6218,Lisbellaw Primary School,Controlled,211.0,BT945BF,54.313563,-7.541601,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,198,65,124,145.25839046333948,180,0-4,27-31 (13.7%),Baptist: <1/month<br>Christian Fellowship Church (CFC): <1/month<br>Church of Ireland: <1/month<br>Elim: <1/month<br>Free Presbyterian: <1/month<br>Gospel Hall: <1/month<br>Hope for Youth Ministries: <1/month<br>Independent Methodist: <1/month<br>Love for Life: <1/month<br>Methodist: <1/month<br>Presbyterian: <1/month<br>Scripture Union: <1/month,15,0.0710900473933649,12-19 (7.1%),176.30370883417916,35.0,Zero,13.7%,https://www.whatdotheyknow.com/r/e070b122-b1df-4a2c-a736-54bdc143ef44
201-6262,Newtownstewart Model Primary School,Controlled,64.0,BT784EX,54.717583,-7.393252,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,204,72,118,80.0,48,0,16 (25.0%),Child Evangelism Fellowship: monthly<br>Free Presbyterian Church: monthly<br>Scripture Union: termly,13,0.203125,12-15 (20.3%),160.3533658944026,21.0,Zero,25.0%,https://www.whatdotheyknow.com/r/ba013a9a-4288-482d-8cf9-d9d16f09de8c
201-6372,Cumber Claudy Primary School,Controlled,151.0,BT474HX,54.911407,-7.16597,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,197,64,125,122.88205727444507,121,9,21 (13.9%),Banagher Presbyterian Church: 1-3/month<br>Child Evangelism Fellowship: 1-3/month<br>Scripture Union: termly<br>Upper Cumber Presbyterian Church: 1-3/month,18,0.119205298013245,16-22 (11.9%),165.53702709697345,34.0,Zero,13.9%,https://www.whatdotheyknow.com/r/4040c30a-bba7-49bc-aea7-0f82eb1e9497
201-6395,Gortin Primary School,Controlled,67.0,BT798QB,54.721979,-7.232268,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,211,81,111,81.85352771872451,56,0-4,7-11 (13.4%),Child Evangelism Fellowship: 1-3/month<br>Mountjoy Presbyterian Church: 1-3/month<br>Mulvin Free Presbyterian Church: 1-3/month<br>Scripture Union: 1-3/month,6,0.0895522388059701,2-11 (9.0%),185.9780204296197,40.0,Zero,13.4%,https://www.whatdotheyknow.com/r/e21c0473-93cd-45e3-9bea-6aa0a5e9ab91
201-6426,Limavady Central Primary School,Controlled,326.0,BT490NB,55.040775,-6.937312,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,195,62,127,180.55470085267788,218,28,80 (24.5%),"Causeway Coast Vineyard: <1/month<br>Child Evangelism Fellowship: <1/month<br>Other Christian Charities: <1/month<br>Presbyterian Church – Irish Green Street, Limavady: <1/month<br>Scripture Union: <1/month",67,0.205521472392638,67 (20.6%),167.47070899404358,15.0,5 or fewer,24.5%,https://www.whatdotheyknow.com/r/72c0cfa2-1aa7-4e28-8514-3cfa792e8195
205-6442,Sion Mills Primary School,Controlled,235.0,BT829HP,54.784039,-7.47395,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,186,52,135,153.29709716755892,61,160,14 (6.0%),No External Visitors,8,0.0340425531914893,8 (3.4%),74.8998886412873,0.0,Zero,6.0%,https://www.whatdotheyknow.com/r/aba50b96-32f3-4293-8682-322acd21d163
201-6564,Fountain Primary School,Controlled,72.0,BT486RE,54.992945,-7.320312,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,190,56,131,84.85281374238569,48,5,19 (26.4%),Carlisle Road Methodist Church: 1-3/month<br>Carlisle Road Presbyterian Church: 1-3/month<br>First Derry Presbyterian Church: 1-3/month<br>St Columb's Cathedral: 1-3/month,14,0.1944444444444444,14 (19.4%),145.9753668426434,43.0,5 or fewer,26.4%,https://www.whatdotheyknow.com/r/33565bd3-2a8f-4946-b85f-6a446143d9e2
201-6645,Bready Jubilee Primary School,Controlled,123.0,BT820DN,54.922304,-7.424609,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,231,110,90,110.90536506409418,101,0-4,18-22 (16.3%),Baptist Youth: once<br>Child Evangelism Fellowship: monthly<br>Crown Jesus Ministries: once<br>Independent Methodist: <1/month<br>Magheramason Presbyterian Church: monthly<br>Reformed Presbyterian: <1/month<br>Scripture Union: once,11,0.089430894308943,8-15 (8.9%),161.81805642627265,27.0,Zero,16.3%,https://www.whatdotheyknow.com/r/6dda687e-2870-4fb7-b495-abb82dca152a
201-6656,Drumrane Primary School,Controlled,140.0,BT474NL,54.969592,-6.939161,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,183,48,138,118.32159566199232,120,0-4,16-20 (12.9%),Balteagh and Bovevagh Presbyterian Church: 1-3/month<br>Child Evangelism Fellowship: c. 20 visits<br>Dungiven and Bovevagh Church of Ireland: 1-3/month<br>Dungiven and Largy Presbyterian Churches: 1-3/month<br>Scripture Union: 1-3/month<br>Second Limavady Presbyterian Church: 1-3/month,12,0.0857142857142857,10-16 (8.6%),215.39533050060504,71.0,Zero,12.9%,https://www.whatdotheyknow.com/r/26a82f16-6cc7-4d7e-aa7e-c20bc878e882
201-6663,Cooley Primary School,Controlled,102.0,BT799DH,54.556212,-7.124179,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,103,0,167,100.99504938362077,83,12,7 (6.9%),Acre: <1/month<br>Child Evangelism Fellowship: 1-3/month<br>Church of Ireland: <1/month<br>Evangelical Church: <1/month<br>Free Presbyterian Church: <1/month<br>Presbyterian Church: <1/month<br>Scripture Union: <1/month,4,0.0392156862745098,Fewer than 5 (<5.0%),161.04230365994945,29.0,Zero,6.9%,https://www.whatdotheyknow.com/r/5135ae02-0e13-444c-91ff-17d1710aab21
201-6700,Gaelscoil Neachtain,Controlled,149.0,BT474RF,54.960912,-6.920609,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,169,35,149,122.06555615733704,0,145-149,Fewer than 5 (<4.0%),Dungiven Parish: <1/month<br>Eucharistic Adoration: <1/month,2,0.0134228187919463,Fewer than 5 (<4.0%),77.43910116727791,5.0,5 or fewer,1.3%,https://www.whatdotheyknow.com/r/1afc35f3-5de6-4328-a990-fdaf17aaa103
201-6701,Ardstraw Jubilee Primary School,Controlled,85.0,BT784LA,54.730514,-7.437064,"(1.0, 0.4980392156862745, 0.054901960784313725)",#ff7f0e80,95,0,166,92.19544457292886,55,0,30 (35.3%),Ardstraw Presbyterian Church: <1/month<br>Christian Evangelical Mission: <1/month<br>Drumlegagh Presbyterian Church: <1/month<br>Mulvin Free Presbyterian Church: <1/month,27,0.3176470588235294,26-29 (31.8%),127.8643645813303,13.0,Zero,35.3%,https://www.whatdotheyknow.com/r/92484111-d70f-448c-b62c-7163f62f1489
203-0364,Rosemount Primary School,Roman Catholic Maintained,380.0,BT489DD,55.00123,-7.333908,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,73,2,159,194.93588689617928,0,374,6 (1.6%),"St Eugene's Parish, Derry: <1/month",3,0.0078947368421052,Fewer than 5 (<2.0%),69.73243846867024,2.0,Zero,1.6%,https://www.whatdotheyknow.com/r/9bd8e8e3-849a-4e92-af7b-7b74afb0840d
203-0373,Nazareth House Primary School,Roman Catholic Maintained,235.0,BT486UN,54.990118,-7.328968,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,73,2,159,153.29709716755892,0,231-235,Fewer than 5 (<3.0%),No External Visitors,2,0.0085106382978723,Fewer than 5 (<3.0%),46.97056274847714,0.0,Zero,0.9%,https://www.whatdotheyknow.com/r/82aab337-f21f-49c3-9319-9456d88621f6
203-0381,"Holy Child PS, L'Derry",Roman Catholic Maintained,317.0,BT489QQ,54.995642,-7.345406,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,89,1,164,178.04493814764857,0,313-317,Fewer than 5 (<2.0%),No External Visitors,2,0.0063091482649842,Fewer than 5 (<2.0%),46.97056274847714,0.0,Zero,0.6%,https://www.whatdotheyknow.com/r/505a1dfd-02fe-49e6-9e56-c8fe8bfde590
203-1828,"St Patrick's PS, Enniskillen BT94 3AD",Roman Catholic Maintained,184.0,BT943AD,54.354685,-7.561968,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,120,120,120,135.64659966250537,0,176,8 (4.3%),DID NOT RESPOND TO SURVEY,5,0.0271739130434782,1-10 (2.7%),200.0,,,4.3%,https://www.whatdotheyknow.com/r/596e7539-309e-49e4-9a78-cef3260d8b76
203-1863,Tattygar Primary School,Roman Catholic Maintained,67.0,BT945GT,54.323129,-7.534164,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,87,1,164,81.85352771872451,0,63-67,Fewer than 5 (<8.0%),"St Michael's Parish, Enniskillen: <1/month",2,0.0298507462686567,Fewer than 5 (<8.0%),61.66491223210112,2.0,Zero,3.0%,https://www.whatdotheyknow.com/r/e812c700-6ef3-44d9-879c-10957fff62e9
203-1868,St Tierney's Primary School,Roman Catholic Maintained,126.0,BT927JS,54.244237,-7.179598,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,87,1,164,112.24972160321823,0-4,118-126,Fewer than 5 (<4.0%),"St. Tierney's, Roslea: <1/month",0,0.0,Fewer than 5 (<4.0%),61.66491223210112,2.0,Zero,1.6%,https://www.whatdotheyknow.com/r/730a74f5-c378-450f-87e9-835cf0874ff8
203-1869,"St Mary's PS, Enniskillen BT92 8JJ",Roman Catholic Maintained,178.0,BT928JJ,54.176603,-7.361462,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,79,2,162,133.41664064126334,0-4,170-178,Fewer than 5 (<3.0%),Galloon Parish Newtownbutler: <1/month,0,0.0,Fewer than 5 (<3.0%),61.66491223210112,2.0,5 or fewer,1.1%,https://www.whatdotheyknow.com/r/acec20c7-2556-4cc7-9b8e-87edfbec9a11
203-1874,"St Patrick's PS, Enniskillen BT93 6LR",Roman Catholic Maintained,124.0,BT936LR,54.423359,-7.825537,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,73,2,159,111.35528725660043,0,120-124,Fewer than 5 (<5.0%),Diocesan / Catechetical advisors: once,0,0.0,Fewer than 5 (<5.0%),54.0,1.0,Zero,1.6%,https://www.whatdotheyknow.com/r/72e08910-2ef1-48b7-9b21-d3114486d085
203-1876,"St Mary's PS, Enniskillen BT94 4HY",Roman Catholic Maintained,66.0,BT944HY,54.31662,-7.402704,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,87,1,164,81.24038404635961,0,62-66,Fewer than 5 (<8.0%),No External Visitors,2,0.0303030303030303,Fewer than 5 (<8.0%),46.97056274847714,0.0,Zero,3.0%,https://www.whatdotheyknow.com/r/ecb0d366-e268-410e-9bd3-f47497cf8df2
203-1880,St Ninnidh's Primary School,Roman Catholic Maintained,143.0,BT929JZ,54.195598,-7.586252,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,87,1,164,119.58260743101398,0-4,135-143,Fewer than 5 (<4.0%),"St Ninnidh's RC Church, Derrylin: <1/month",2,0.0139860139860139,Fewer than 5 (<4.0%),61.66491223210112,2.0,5 or fewer,1.4%,https://www.whatdotheyknow.com/r/53bbd2c2-6b87-4d8d-98a3-56693b0cfb95
203-1884,"St Mary's PS, Enniskillen BT92 3ET",Roman Catholic Maintained,88.0,BT923ET,54.255454,-7.69017,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,97,0,166,93.8083151964686,0,84-88,Fewer than 5 (<6.0%),"St Patricks RC Church, Killesher: <1/month",2,0.0227272727272727,Fewer than 5 (<6.0%),61.66491223210112,2.0,Zero,2.3%,https://www.whatdotheyknow.com/r/15d1c4a4-9f5a-47c9-b747-b428e5472ae2
203-1887,"St John the Baptist PS, Enniskillen",Roman Catholic Maintained,27.0,BT933DP,54.466277,-8.0356,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,73,2,159,51.96152422706632,0-4,23-27,0 (0.0%),Love for Life: <1/month,0,0.0,0 (0%),71.81592314623018,2.0,Zero,0.0%,https://www.whatdotheyknow.com/r/82baba4a-a25b-4d10-af2d-09ab8c3f87e4
203-1890,"St Mary's PS, Enniskillen BT92 2AB",Roman Catholic Maintained,142.0,BT922AB,54.290964,-7.669003,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,151,19,160,119.16375287812984,0,138-142,Fewer than 5 (<4.0%),No External Visitors,2,0.0140845070422535,Fewer than 5 (<4.0%),46.97056274847714,0.0,5 or fewer,1.4%,https://www.whatdotheyknow.com/r/8b567d7f-2df4-4c33-b0ca-d26096fc875c
203-1895,"St Mary's PS, Enniskillen BT94 4RG",Roman Catholic Maintained,151.0,BT944RG,54.289934,-7.464837,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,73,2,159,122.88205727444507,0,147-151,Fewer than 5 (<4.0%),St Mary's Church Maguiresbridge & Holy Cross Lisnaskea I.E Parish of Aghalurcher: weekly,2,0.0132450331125827,Fewer than 5 (<4.0%),127.9305876628952,32.0,5 or fewer,1.3%,https://www.whatdotheyknow.com/r/9bd91592-e0a3-44c9-84d3-4cc531128a56
203-1897,Killyhommon Primary School,Roman Catholic Maintained,70.0,BT748BZ,54.363711,-7.803869,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,54,4,152,83.66600265340756,0-4,62-70,Fewer than 5 (<8.0%),No External Visitors,2,0.0285714285714285,Fewer than 5 (<8.0%),46.97056274847714,0.0,Zero,2.9%,https://www.whatdotheyknow.com/r/a746ac34-ed33-43cf-9681-d53874041182
203-1898,"St Paul's PS, Enniskillen",Roman Catholic Maintained,247.0,BT941EY,54.474003,-7.646918,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,158,25,156,157.1623364550171,6,241,0 (0.0%),No External Visitors,0,0.0,0 (0%),30.0,0.0,Zero,0.0%,https://www.whatdotheyknow.com/r/7db0f010-ba3c-4f2c-a89d-c232c3720ff5
203-1901,"St Ronan's PS, Enniskillen",Roman Catholic Maintained,364.0,BT920LA,54.260906,-7.452585,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,97,0,166,190.7878402833892,0,358,6 (1.6%),"Holy Cross Church, Lisnaskea: weekly",3,0.0082417582417582,Fewer than 5 (<2.0%),135.98113039593417,36.0,Zero,1.6%,https://www.whatdotheyknow.com/r/255b61ec-20a5-4cbe-888e-44c2bda75537
203-2212,Glendermott Primary School,Roman Catholic Maintained,202.0,BT473QZ,54.965896,-7.266061,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,115,0,168,142.12670403551894,0-4,194,4-8 (3.0%),St Mary's Ardmore: termly,5,0.0247524752475247,0-12 (2.5%),71.56921938165306,3.0,5 or fewer,3.0%,https://www.whatdotheyknow.com/r/2d03f3d5-b8bb-4e87-9896-985a23f09ae4
203-2263,"St Canice's PS, L'Derry BT47 4TW",Roman Catholic Maintained,93.0,BT474TW,54.8857,-7.015088,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,108,0,168,96.43650760992956,0,89-93,Fewer than 5 (<6.0%),St. Joseph's Church (Banagher Parish): 1-3/month,0,0.0,Fewer than 5 (<6.0%),89.27562736909665,11.0,Zero,2.2%,https://www.whatdotheyknow.com/r/35898141-1202-48fc-a167-1716d65af28e
203-2278,Broadbridge Primary School,Roman Catholic Maintained,420.0,BT473PG,55.027708,-7.179036,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,147,16,161,204.93901531919195,0-4,399,17-21 (4.5%),No External Visitors,16,0.0380952380952381,12-21 (3.8%),82.30678732248809,0.0,Zero,4.5%,https://www.whatdotheyknow.com/r/293f50f3-f9f6-44e8-84dd-dcbaf84dfd3b
203-2286,"St Matthew's PS, Limavady",Roman Catholic Maintained,104.0,BT490PX,54.985183,-6.856552,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,98,0,166,101.9803902718557,0-4,96-104,Fewer than 5 (<5.0%),"Eucharistic Adoration: 1-3/month<br>St Patrick's Church, Dungiven: <1/month<br>St. Matthew's Church Drumsurn: 1-3/month",0,0.0,Fewer than 5 (<5.0%),123.9542714739736,24.0,Zero,1.9%,https://www.whatdotheyknow.com/r/02537053-e681-4fa8-ab07-7884edb7e6ee
203-2287,Termoncanice Primary School,Roman Catholic Maintained,509.0,BT499BH,55.046781,-6.951358,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,115,0,168,225.6102834535696,0,501,8 (1.6%),St Mary's Parish Limavady: <1/month,2,0.0039292730844793,Fewer than 5 (<1.0%),73.20493798938574,2.0,Zero,1.6%,https://www.whatdotheyknow.com/r/e270788b-c797-459c-99cf-a3bb7d425ed5
203-2294,"St Mary's PS, L'Derry",Roman Catholic Maintained,133.0,BT474DP,54.867191,-7.077576,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,87,1,164,115.32562594670796,0,129-133,Fewer than 5 (<4.0%),"St. Mary's Church, Altinure (Banagher Parish): 1-3/month",0,0.0,Fewer than 5 (<4.0%),89.27562736909665,11.0,Zero,1.5%,https://www.whatdotheyknow.com/r/77b2cd88-a456-440a-8e3f-0086a7f64e97
203-2573,"St Brigid's PS, Omagh BT79 9JA",Roman Catholic Maintained,38.0,BT799JA,54.524815,-7.085406,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,95,0,166,61.64414002968976,0,34-38,Fewer than 5 (<14.0%),Errigal: <1/month,2,0.0526315789473684,Fewer than 5 (<14.0%),61.66491223210112,2.0,Zero,5.3%,https://www.whatdotheyknow.com/r/7e2ce46b-50c2-4a4a-8a05-eddeefe266ed
203-2603,Tummery Primary School,Roman Catholic Maintained,29.0,BT783JZ,54.494715,-7.522985,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,92,0,165,53.85164807134504,0,25-29,Fewer than 5 (<18.0%),SMA Fathers: once<br>St. Davog's Dromore: termly,2,0.0689655172413793,Fewer than 5 (<18.0%),67.94733192202055,4.0,Zero,6.9%,https://www.whatdotheyknow.com/r/c4df77d0-6089-4fe6-bf75-4a0e41fc98fb
203-2607,"St Mary's PS, Omagh",Roman Catholic Maintained,329.0,BT797LT,54.60895,-7.269869,"(0.17254901960784313, 0.6274509803921569, 0.17254901960784313)",#2ca02c80,87,1,164,181.38357147217053,0,320,9 (2.7%),No External Visitors,9,0.0273556231003039,9 (2.7%),66.0,0.0,5 or fewer,2.7%,https://www.whatdotheyknow.com/r/e6859048-6655-49dc-a283-326ba7d00be2
